artifact_slug,artifact,engine,exercise_id,type,parent_exercise,phase,name,mode,tag,sets,reps,rest_s,hold_s,routine_refs,variant_count,video,cue
activacion,Activación adaptativa,activation,floss,main,,,Deslizamiento neural,uni,Sin equipo,,,,30,4,0,,"Boca arriba, rodilla al pecho. Extiende la pierna hacia el techo mientras llevas la punta del pie hacia ti; suelta y repite, lento. No es un estiramiento: buscas que el nervio deslice. Si tira fuerte, achica el rango."
activacion,Activación adaptativa,activation,fig4,main,,,Figura 4 boca arriba,uni,Sin equipo,,,,45,8,0,,"Boca arriba, cruza un tobillo sobre la rodilla contraria y trae el muslo de abajo hacia el pecho. Empuja suave la rodilla cruzada hacia afuera con el codo. Empieza por el lado que sientes más rígido. Respira largo y no fuerces el rango."
activacion,Activación adaptativa,activation,bridge,main,,,Puente de glúteos,bi,Sin equipo,,,,,4,0,,"Pies cerca de los glúteos. Sube la cadera empujando con los talones y sostén dos segundos arriba apretando los glúteos. La pausa es el ejercicio; sin ella son solo repeticiones. Baja controlado, sin arquear la lumbar. Si lo sientes en los isquios, acerca los pies."
activacion,Activación adaptativa,activation,bridgeBand,main,,,Puente de glúteos con banda,bi,Minibanda,,,,,4,0,,"Pies cerca de los glúteos, banda por encima de las rodillas. Sube empujando con los talones y abre las rodillas contra la banda todo el tiempo. Sostén un segundo arriba. Si las rodillas se juntan, el glúteo medio se apagó."
activacion,Activación adaptativa,activation,deadbug,main,,,Dead bug,alt,Sin equipo,,,,,3,0,,"Boca arriba, brazos al techo y rodillas a 90°. Extiende brazo y pierna contrarios, lentos, sin que la lumbar se despegue del piso. Exhala al extender: es la exhalación la que aplana la espalda, no la fuerza abdominal. Si la lumbar se levanta, baja menos la pierna. El objetivo es control, no velocidad."
activacion,Activación adaptativa,activation,deadbugBand,main,,,Dead bug con banda,alt,Minibanda,,,,,3,0,,"Boca arriba, banda por encima de las rodillas, presión hacia afuera constante. Extiende brazo y pierna contrarios sin que la banda gane y sin despegar la lumbar. Exhala al extender."
activacion,Activación adaptativa,activation,catcow,main,,,Gato-camello,bi,Sin equipo,,,,,8,0,,"En cuadrupedia, alterna redondear y arquear la columna al ritmo de la respiración. Muévete desde la pelvis y deja que la columna la siga vértebra por vértebra — no en bloque, y no solo cuello y hombros. Esto es control pélvico y articular, no un estiramiento. Rango cómodo, no máximo."
activacion,Activación adaptativa,activation,kneeChest,main,,,Rodilla al pecho,uni,Sin equipo,,,,30,4,0,,"Boca arriba, trae una rodilla al pecho con la otra pierna extendida en el piso. Si la pierna de abajo se despega, afloja el rango. No tires del cuello."
activacion,Activación adaptativa,activation,twist,main,,,Torsión espinal,uni,Sin equipo,,,,45,4,0,,"Acostado, rodilla cruzada al lado opuesto, brazos abiertos, mirada al lado contrario. El hombro no se despega del piso: si se despega, baja la rodilla. Suelta un poco más en cada exhalación."
activacion,Activación adaptativa,activation,hamSupine,main,,,Isquios boca arriba,uni,Sin equipo,,,,45,2,1,,"Boca arriba, sujeta el muslo por detrás de la rodilla. Desde ahí estira la rodilla hacia el techo hasta sentir el isquio, y no más. La otra pierna queda apoyada en el piso."
activacion,Activación adaptativa,activation,hamSupine_v1,variant,Isquios boca arriba,,Isquios con toalla,uni,Toalla o cinta,,,,45,,0,,"Toalla en la planta del pie, pierna extendida hacia el techo. Tira desde la toalla, no desde el cuello. La otra pierna queda apoyada en el piso."
activacion,Activación adaptativa,activation,child,main,,,Postura del niño con alcance lateral,uni,Sin equipo,,,,45,4,0,,"Desde la postura del niño, camina las manos hacia un costado hasta sentir el dorsal por el lateral del tronco. La cadera se queda atrás, no la sigas con el tronco."
activacion,Activación adaptativa,activation,hipflex,main,,,Psoas de rodillas,uni,Sin equipo,,,,45,4,0,,"Media rodilla, pie de adelante plano. Mete la pelvis antes de avanzar la cadera. Sin eso estás estirando la lumbar, no el psoas."
activacion,Activación adaptativa,activation,hipflexSqueeze,main,,,Psoas con apriete de glúteo,uni,Sin equipo,,,,45,4,0,,"Media rodilla, pie de adelante plano. Mete la pelvis y aprieta fuerte el glúteo de la pierna de atrás antes de avanzar la cadera. Sin ese apriete estás estirando la lumbar y no el psoas: ese apriete es el ejercicio."
activacion,Activación adaptativa,activation,wgs,main,,,El mejor estiramiento del mundo,uni,Sin equipo,,,,45,4,0,,"Zancada profunda, pie adelantado por fuera de la mano. Baja el codo de adentro hacia el piso, aguanta un segundo, y después rota ese brazo abriendo hacia el techo siguiendo la mano con la mirada. Cadera, aductor y torácica en un solo gesto."
activacion,Activación adaptativa,activation,hipCircles,main,,,Círculos de cadera,uni,Sin equipo,,,,,4,0,,"De pie en una pierna, rodilla levantada. Dibuja círculos amplios hacia adelante y hacia atrás. El tronco no se mueve: solo la cadera. Si te balanceas, acércate a una pared."
activacion,Activación adaptativa,activation,swingFB,main,,,Balanceo de pierna (frontal),uni,Pared de apoyo,,,,,8,0,,Apóyate en una pared y balancea la pierna adelante y atrás. Aumenta el rango poco a poco: arrancar en el máximo es cómo se tira un isquio.
activacion,Activación adaptativa,activation,swingLat,main,,,Balanceo lateral de pierna,uni,Pared de apoyo,,,,,4,0,,"De frente a la pared, cruza la pierna de lado a lado por delante del cuerpo. Abre aductores y despierta el glúteo medio."
activacion,Activación adaptativa,activation,latRaise,main,,,Elevación lateral de pierna,uni,Sin equipo,,,,,1,0,,"De pie o de costado, sube la pierna al lateral con el pie apuntando levemente hacia abajo. Rango medio, sin impulso. Si el tronco se inclina, bajaste el rango."
activacion,Activación adaptativa,activation,latRaiseBand,main,,,Elevación lateral con banda,uni,Minibanda,,,,,1,0,,"De pie, banda en los tobillos. Sube la pierna al lateral con el pie apuntando levemente hacia abajo. El tronco se queda vertical: si se inclina, baja el rango."
activacion,Activación adaptativa,activation,calf,main,,,Elevación de talones,bi,Sin equipo,,,,,6,0,,"De pie, sube lento hasta la punta del pie y baja más lento todavía. La bajada es el ejercicio. No rebotes arriba ni abajo."
