exercise_name,present_in,copies,cue_1,cue_2,cue_3,cue_4,cue_5,cue_6,harmonized_cue,note_1,note_2,note_3,note_4,note_5,note_6,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
Gato-camello,activacion;core;movilidad;recuperacion;core-ciclista;core-corredor,6,"En cuadrupedia, alterna redondear y arquear la columna al ritmo de la respiración. Muévete vértebra por vértebra, no en bloque.","En cuadrupedia. Exhala redondeando la espalda, inhala arqueándola, lento. Muévete desde la pelvis y deja que la columna la siga vértebra por vértebra — la mayoría hace lo contrario y solo mueve el cuello y los hombros. Rango cómodo, no máximo: acabas de levantarte.","En cuadrupedia, alterna redondear y arquear al ritmo de la respiración. Vértebra por vértebra, no en bloque. Lento: post-entreno esto es para soltar, no para movilizar fuerte.","En cuadrupedia, alterna redondear y arquear al ritmo de la respiración, vértebra por vértebra. Aquí tienes tiempo: hazlo el doble de lento de lo que harías antes de entrenar, y busca los segmentos que no se mueven.","En cuadrupedia, alterna redondear y arquear la columna al ritmo de la respiración. Muévete vértebra por vértebra, no en bloque: esto es control pélvico y articular, no un estiramiento.","En cuadrupedia, alterna redondear y arquear la columna al ritmo de la respiración. Muévete vértebra por vértebra, no en bloque: esto es control articular, no un estiramiento.",,,,,,,,,,45s,60s,1×10 repeticiones,1×10 repeticiones
Dead bug,activacion;core;recuperacion;core-ciclista,4,"Lumbar pegada al piso. Extiende brazo y pierna contrarios sin que la espalda se despegue. Lento — el objetivo es control, no velocidad.","Boca arriba, brazos al techo y rodillas a 90°. Extiende brazo y pierna contrarios, lentos, sin que la lumbar se despegue del piso. Exhala fuerte mientras la pierna se extiende — es la exhalación la que aplana la espalda contra el suelo, no la fuerza abdominal. Si la lumbar se levanta, baja menos la pierna.","Lumbar pegada al piso, brazos y rodillas arriba. Extiende brazo y pierna contrarios sin que la espalda se despegue ni un milímetro. Exhala al extender. Lento: el objetivo es control.","Brazos al techo, piernas a 90°. Extiende brazo y pierna contrarios hacia el suelo sin tocarlo. La lumbar empuja contra el piso todo el tiempo — es la capacidad de mantener el tronco rígido mientras las piernas se mueven en rango amplio, que es literalmente pedalear.",,,,,,,,,,,,60s,1×12-15 por lado,,
Figura 4 boca arriba,activacion;core;movilidad;core-corredor,4,"Cruza un tobillo sobre la rodilla contraria y trae la pierna de abajo hacia el pecho. Empieza por el lado que sientes más rígido — casi todos tenemos uno, y ese es el que necesita los segundos.","Boca arriba, cruza el tobillo sobre la rodilla contraria y trae el muslo al pecho. Mismo objetivo, cero carga en la rodilla.",Cruza un tobillo sobre la rodilla contraria y trae la pierna de abajo hacia el pecho. Empuja suave la rodilla cruzada hacia afuera con el codo. Empieza por el lado que sientes más rígido.,"Boca arriba, cruza un tobillo sobre la rodilla contraria y tira del muslo de atrás hacia el pecho. Respira largo y no fuerces el rango: glúteo y piramidal son los que quedan duros después de un fondo, y los que tiran de la cadera si no se sueltan.",,,,,,,,,,45s,,45s,1×60s por pierna,,
Psoas con apriete de glúteo,activacion;movilidad;core-ciclista;core-corredor,4,"Misma posición, pero aprieta fuerte el glúteo de la pierna de atrás y sostén. Ese apriete es lo que apaga el psoas y lo deja estirar de verdad. Es la clave del ejercicio.","Media rodilla, pie de adelante plano. Mete la pelvis y aprieta fuerte el glúteo de atrás antes de avanzar — sin ese apriete estás estirando la lumbar y no el psoas. Ese apriete es el ejercicio.","Media rodilla, y aprieta fuerte el glúteo de la pierna de atrás antes de avanzar. Ese apriete es lo que apaga el psoas y lo deja estirar de verdad. Después de horas de sillín, este es el estiramiento que más te devuelve.",Media rodilla en el piso y aprieta fuerte el glúteo de la pierna de atrás antes de avanzar la cadera. Ese apriete es lo que apaga el psoas y lo deja estirar de verdad. Corriendo se acorta kilómetro a kilómetro; es el estiramiento que más te devuelve.,,,,,,,,,,45s,45s,1×60s por pierna,1×60s por pierna,,
Puente de glúteos,activacion;core;rodillas;core-ciclista,4,"Pies cerca de los glúteos. Sube la cadera empujando con los talones y aprieta los glúteos arriba un segundo. Baja controlado, sin arquear la lumbar.","Pies apoyados cerca de los glúteos. Sube la cadera empujando con los talones y pausa dos segundos arriba apretando los glúteos con ganas — la pausa es el ejercicio, el movimiento es solo cómo llegas ahí. Busca abrir el frente de la cadera, que es lo que el avión y la silla te cerraron. Si lo sientes en los isquios, acerca los pies.",Empuja con los talones y sostén 2 segundos arriba apretando el glúteo. La pausa es el ejercicio; sin ella son solo repeticiones.,Empuja con los talones y sostén 2 segundos arriba apretando fuerte los glúteos. La pausa es lo que despierta el glúteo; sin ella son quince repeticiones de nada.,,,,,,,,,,,,2×15,1×15 repeticiones,,
Balanceo de pierna (frontal),activacion;recuperacion;rodillas,3,Apóyate en una pared y balancea la pierna adelante y atrás. Aumenta el rango poco a poco — arrancar en el rango máximo es cómo se tira un isquio antes de correr.,"Apoyado en la pared, balancea la pierna adelante y atrás, y después cruzada de lado a lado. Aumenta el rango poco a poco — arrancar en el máximo es cómo se tira un isquio, incluso en un día suave.","Apóyate en una pared y balancea la pierna adelante y atrás. Aumenta el rango poco a poco, no arranques en el máximo.",,,,,,,,,,,,45s,1×15 por lado,,,
Bird dog,core;recuperacion;core-ciclista,3,"Extiende brazo y pierna contrarios hasta la línea del tronco y sostén dos segundos ahí. La cadera queda cuadrada al piso: si se abre hacia un costado, bajaste el estándar del ejercicio para poder estirar más. Imagina un vaso de agua apoyado en la lumbar que no se puede volcar.","En cuadrupedia, extiende brazo y pierna contrarios hasta la horizontal. Sostén tres segundos arriba con la lumbar quieta — si la espalda se arquea o la cadera rota, baja la pierna. Imagínate un vaso de agua sobre la zona lumbar.","Extiende brazo y pierna contrarios hasta la línea del tronco. Espalda plana como si tuvieras un vaso de agua en la lumbar, y aprieta el glúteo al estirar la pierna.",,,,,,,,,,,,45s,1×10 por lado,,,
Couch stretch,core;movilidad;rodillas,3,"Rodilla en el piso contra la base de la cama y el empeine apoyado arriba; la otra pierna adelante en zancada. El mejor abridor de flexores de cadera y cuádriceps que existe. Aprieta el glúteo de la pierna estirada — sin eso, la pelvis rota y el estiramiento se lo lleva la lumbar en vez del psoas. Sesenta segundos por lado y vas a sentir el viaje entero salir de ahí.","De rodillas de espaldas a la pared, el empeine apoyado en ella. Mete la pelvis antes de subir el tronco — casi nadie necesita subir tanto como cree.","De rodillas de espaldas a la pared, la rodilla de atrás en el rincón, el otro pie adelante en zancada. Mete la pelvis antes de buscar más rango — si no, estiras la lumbar y no el cuádriceps.",,,,,,,,,,,60s,,1×2 min por lado,,,
El mejor estiramiento del mundo,activacion;core;recuperacion,3,"Estocada larga, mano de adentro al piso junto al pie, y abre el pecho rotando el brazo de arriba hacia el techo. Cadera, aductor y torácica en un solo movimiento.","Zancada profunda con el pie adelantado por fuera de la mano. Baja el codo de adentro hacia el piso, aguanta un segundo, y después rota ese brazo abriendo hacia el techo siguiendo la mano con la mirada. Es la mejor transición que existe hacia los estiramientos profundos: mueve cadera, columna torácica y tobillo en un solo gesto.","Estocada larga, mano de adentro al piso junto al pie, y abre el pecho rotando el brazo de arriba hacia el techo. Sostén arriba tres respiraciones antes de volver. Cadera, aductor y torácica en un solo movimiento.",,,,,,,,,,,45s,,60s,,,
Libro abierto,movilidad;recuperacion;hombro,3,"De costado, rodillas flexionadas y apiladas, brazos juntos adelante. Abre el brazo de arriba siguiendo la mano con la mirada, y deja las rodillas quietas. Si las rodillas se separan, la rotación se te fue a la lumbar.","De costado, rodillas flexionadas y apiladas, brazos juntos adelante. Abre el brazo de arriba siguiendo la mano con la mirada y deja las rodillas quietas. Quédate cinco respiraciones donde llegues antes de volver.","De costado, rodillas flexionadas, brazos estirados juntos adelante. Abre el brazo de arriba y llévalo al otro lado siguiéndolo con la mirada, dejando las rodillas quietas en el piso. Si la espalda alta no rota, el hombro tiene que buscar el rango que le falta a la columna.",,,,,,,,,,,45s,60s,1×8 por lado,,,
