name,artifact_count,occurrences,artifacts,appears_as,engines,modes,equipment_tags,exercise_ids,possible_same_as,sample_reps,sample_cue
Gato-camello,6,6,Activación adaptativa | Core para el hotel | Movilidad | Recuperación | Core del ciclista | Core del corredor,main,activation+strength,bi,Sin equipo | Cuadrupedia,catcow,,45s,"En cuadrupedia, alterna redondear y arquear la columna al ritmo de la respiración. Muévete desde la pelvis y deja que la columna la siga vértebra por vértebra — no en bloque, y no solo cuello y hombros. Esto es control pélvico y articular, no un estiramiento. Rango cómodo, no máximo."
Puente de glúteos a una pierna,5,5,Core para el hotel | Recuperación | Aquiles | Rodillas sin dolor | Core del ciclista,main+variant,activation+strength,uni,Sin equipo | Cadena posterior,bridgeSingle | slBridge,,45s,"Un talón apoyado cerca de los glúteos, la otra rodilla abrazada al pecho. Empuja con el talón y aprieta el glúteo arriba. Si lo sientes en la lumbar, mete la pelvis y baja la altura: la idea es aislar el glúteo, no que el psoas haga el trabajo."
Dead bug,4,4,Activación adaptativa | Core para el hotel | Recuperación | Core del ciclista,main,activation+strength,alt+bi,Sin equipo | Boca arriba | Anti-extensión,deadbug | deadBug,,60s,"Boca arriba, brazos al techo y rodillas a 90°. Extiende brazo y pierna contrarios, lentos, sin que la lumbar se despegue del piso. Exhala al extender: es la exhalación la que aplana la espalda, no la fuerza abdominal. Si la lumbar se levanta, baja menos la pierna. El objetivo es control, no velocidad."
Figura 4 boca arriba,4,4,Activación adaptativa | Core para el hotel | Movilidad | Core del corredor,main+variant,activation+strength,uni,Sin equipo | Glúteo y piramidal,fig4,,45s,"Boca arriba, cruza un tobillo sobre la rodilla contraria y trae el muslo de abajo hacia el pecho. Empuja suave la rodilla cruzada hacia afuera con el codo. Empieza por el lado que sientes más rígido. Respira largo y no fuerces el rango."
Psoas con apriete de glúteo,4,4,Activación adaptativa | Movilidad | Core del ciclista | Core del corredor,main,activation+strength,uni,Sin equipo | Posición de caballero,hipflexSqueeze | psoas | hipflex,Psoas de rodillas,45s,"Media rodilla, pie de adelante plano. Mete la pelvis y aprieta fuerte el glúteo de la pierna de atrás antes de avanzar la cadera. Sin ese apriete estás estirando la lumbar y no el psoas: ese apriete es el ejercicio."
Puente de glúteos,4,4,Activación adaptativa | Core para el hotel | Rodillas sin dolor | Core del ciclista,main,activation+strength,bi,Sin equipo | Boca arriba,bridge,,15,"Pies cerca de los glúteos. Sube la cadera empujando con los talones y sostén dos segundos arriba apretando los glúteos. La pausa es el ejercicio; sin ella son solo repeticiones. Baja controlado, sin arquear la lumbar. Si lo sientes en los isquios, acerca los pies."
Balanceo de pierna (frontal),3,3,Activación adaptativa | Recuperación | Rodillas sin dolor,main,activation+strength,uni,Pared de apoyo | Pared,swingFB | legSwing,,45s,Apóyate en una pared y balancea la pierna adelante y atrás. Aumenta el rango poco a poco: arrancar en el máximo es cómo se tira un isquio.
Bird dog,3,3,Core para el hotel | Recuperación | Core del ciclista,main,activation+strength,alt+uni,Cuadrupedia | Sin equipo,birdDog | birddog,Bird dog dinámico,45s,"En cuadrupedia, extiende brazo y pierna contrarios hasta la línea del tronco y sostén dos o tres segundos. La cadera queda cuadrada al piso y la lumbar quieta: si se abre hacia un costado o la espalda se arquea, baja la pierna. Imagina un vaso de agua sobre la lumbar que no se puede volcar. Aprieta el glúteo al estirar la pierna."
Couch stretch,3,3,Core para el hotel | Movilidad | Rodillas sin dolor,main+variant,activation+strength,uni,Cama o pared | Pared,quadSide_v2 | couch,,60s,"De rodillas de espaldas a una pared o a la base de la cama, empeine de atrás apoyado y el otro pie adelante en zancada. Mete la pelvis y aprieta el glúteo de la pierna de atrás antes de subir el tronco. Sin eso, la pelvis rota y el estiramiento se lo lleva la lumbar en vez del psoas y el cuádriceps. Casi nadie necesita subir tanto como cree."
El mejor estiramiento del mundo,3,3,Activación adaptativa | Core para el hotel | Recuperación,main,activation,uni,Sin equipo | De pie a zancada,wgs,,45s,"Zancada profunda, pie adelantado por fuera de la mano. Baja el codo de adentro hacia el piso, aguanta un segundo, y después rota ese brazo abriendo hacia el techo siguiendo la mano con la mirada. Cadera, aductor y torácica en un solo gesto."
Libro abierto,3,3,Movilidad | Recuperación | Hombro del nadador,main,activation+strength,uni,Sin equipo,openBook,,45s,"De costado, rodillas flexionadas y apiladas, brazos juntos adelante. Abre el brazo de arriba siguiéndolo con la mirada y deja las rodillas quietas. Si las rodillas se separan, la rotación se te fue a la lumbar."
