exercise_name_es,artifact,type,parent_exercise,tag,dose,name_en,name_pt,cue_es,cue_en,cue_pt
Plancha lateral con rodillas apoyadas,core,variant,Plancha lateral,,,Kneeling Side Plank,Prancha lateral com joelhos apoiados,"De costado, antebrazo bajo el hombro, rodillas flexionadas y apoyadas. Cuerpo en línea de hombros a rodillas. Empuja la cadera de abajo hacia el techo. Misma línea de tronco, menos palanca.","On your side, forearm under the shoulder, knees bent and down. Body in a line from shoulders to knees. Drive the bottom hip toward the ceiling. Same trunk line, shorter lever.","De lado, antebraço sob o ombro, joelhos dobrados e apoiados. Corpo em linha dos ombros aos joelhos. Empurre o quadril de baixo para o teto. Mesma linha de tronco, menos alavanca."
Perro boca abajo sostenido,core,variant,Plancha alta a perro boca abajo,,,Held Downward Dog,Cachorro olhando para baixo sustentado,"Manos y pies en el piso, cadera alta, talones buscando el suelo. Quédate ahí todo el bloque pedaleando suave con los talones. Espalda larga; si los isquios tiran, flexiona un poco las rodillas.","Hands and feet on the floor, hips high, heels reaching down. Stay there the whole block, gently pedaling the heels. Long spine; if the hamstrings pull, soften the knees.","Mãos e pés no chão, quadril alto, calcanhares buscando o chão. Fique ali o bloco inteiro pedalando leve com os calcanhares. Costas longas; se os posteriores puxarem, dobre um pouco os joelhos."
Cuádriceps de pie,core,variant,Couch stretch,,,Standing Quad Stretch,Alongamento de quadríceps em pé,"De pie, talón al glúteo, rodillas juntas y pelvis metida. Sujeta el tobillo, no el pie. Si la lumbar se arquea, afloja el rango. Es la versión de pie cuando el piso no es opción.","Stand, heel to glute, knees together, pelvis tucked. Hold the ankle, not the foot. If the low back arches, ease off. This is the standing version when the floor isn't an option.","Em pé, calcanhar no glúteo, joelhos juntos e pelve encaixada. Segure o tornozelo, não o pé. Se a lombar arquear, solte a amplitude. É a versão em pé quando o chão não é opção."
Bird dog isométrico,core,variant,Bird dog,,,Isometric Bird Dog,Bird dog isométrico,"En cuadrupedia, extiende brazo y pierna contrarios hasta la línea del tronco y quédate ahí todo el bloque. Cadera cuadrada, lumbar quieta. Imagina un vaso de agua sobre la lumbar.","On all fours, reach opposite arm and leg in line with the torso and hold the whole block. Hips square, low back quiet. Picture a glass of water on your low back.","Em quatro apoios, estenda braço e perna opostos até a linha do tronco e fique ali o bloco inteiro. Quadril alinhado, lombar quieta. Imagine um copo d'água na lombar."
Elevación de talones,activacion,main,,Sin equipo,,Calf Raises,Elevação de panturrilha,"De pie, sube lento hasta la punta del pie y baja más lento todavía. La bajada es el ejercicio. No rebotes arriba ni abajo.","Stand, rise slowly onto the balls of the feet and lower even slower. The lowering is the exercise. Don't bounce at the top or the bottom.","Em pé, suba devagar até a ponta do pé e desça ainda mais devagar. A descida é o exercício. Não quique em cima nem embaixo."
Bird dog codo-rodilla,core,variant,Bird dog,,,Bird Dog with Elbow-to-Knee,Bird dog cotovelo-joelho,"En cuadrupedia, extiende brazo y pierna contrarios. Entre repeticiones, junta codo y rodilla debajo del cuerpo antes de volver a extender. La lumbar no se mueve en el cierre ni en la apertura.","On all fours, reach opposite arm and leg. Between reps, bring elbow and knee together under the body before reaching again. The low back doesn't move on the close or the open.","Em quatro apoios, estenda braço e perna opostos. Entre as repetições, junte cotovelo e joelho sob o corpo antes de estender de novo. A lombar não se mexe no fecha nem no abre."
Zancada baja con rotación,core,variant,El mejor estiramiento del mundo,,,Kneeling Lunge with Rotation,Passada baixa com rotação,"Zancada con la rodilla de atrás apoyada, mano de adentro al piso junto al pie. Rota el tronco y abre el brazo de arriba hacia el techo, siguiendo la mano con la mirada.","Kneeling lunge, back knee down, inside hand on the floor by the front foot. Rotate the torso and open the top arm to the ceiling, following the hand with your eyes.","Passada com o joelho de trás apoiado, mão de dentro no chão ao lado do pé. Gire o tronco e abra o braço de cima para o teto, acompanhando a mão com o olhar."
90-90 sostenido,core,variant,Barridos 90-90 de cadera,,,Held 90/90,90-90 sustentado,"Sentado, una pierna a 90° adelante y la otra a 90° al costado. Quédate de un lado, pecho alto, inclinándote suave hacia adelante desde la cadera. No redondees la lumbar para llegar más lejos.","Sit with one leg at 90° in front and the other at 90° to the side. Stay on one side, chest tall, hinging gently forward from the hip. Don't round the low back to get lower.","Sentado, uma perna a 90° à frente e a outra a 90° ao lado. Fique de um lado, peito alto, inclinando leve para frente a partir do quadril. Não arredonde a lombar para chegar mais longe."
Plancha alta isométrica,core,variant,Plancha alta con toque de hombro,,,High Plank Hold,Prancha alta isométrica,"Plancha alta, manos bajo los hombros. Empuja el piso, espalda ancha, pelvis metida. Sostén sin movimiento. Si la lumbar se hunde, apoya las rodillas.","High plank, hands under the shoulders. Push the floor away, broad back, pelvis tucked. Hold still. If the low back sags, drop the knees.","Prancha alta, mãos sob os ombros. Empurre o chão, costas largas, pelve encaixada. Sustente sem movimento. Se a lombar afundar, apoie os joelhos."
Gato-camello sentado,core,variant,Gato-camello,,,Seated Cat-Cow,Gato-camelo sentado,"Sentado al borde de una silla o de la cama, manos en las rodillas. Exhala redondeando la espalda, inhala arqueándola. Muévete desde la pelvis, vértebra por vértebra.","Sit on the edge of a chair or bed, hands on the knees. Exhale as you round, inhale as you arch. Start from the pelvis, one vertebra at a time.","Sentado na beira de uma cadeira ou da cama, mãos nos joelhos. Expire arredondando as costas, inspire arqueando. O movimento começa na pelve, vértebra por vértebra."
Plancha alta a rodillas,core,variant,Plancha alta a perro boca abajo,,,High Plank to Knees,Prancha alta aos joelhos,"Desde la plancha alta, baja las rodillas al piso y vuelve a extender. Pelvis metida en ambos puntos. Úsala si el hombro molesta en el perro boca abajo.","From high plank, drop the knees to the floor and extend back up. Pelvis tucked at both ends. Use this if the shoulder bothers you in downward dog.","Da prancha alta, desça os joelhos ao chão e volte a estender. Pelve encaixada nos dois pontos. Use se o ombro incomodar no cachorro olhando para baixo."
Postura del niño sostenida,core,variant,Postura del niño a cobra,,,Held Child's Pose,Postura da criança sustentada,"Sentado sobre los talones, brazos largos adelante, frente al piso. Sin flujo: solo respira hacia la espalda baja y deja que la cadera baje un poco más con cada exhalación.","Sit back on the heels, arms long in front, forehead down. No flow: just breathe into the low back and let the hips sink a little further on each exhale.","Sentado sobre os calcanhares, braços longos à frente, testa no chão. Sem fluxo: só respire na direção da lombar e deixe o quadril descer um pouco mais a cada expiração."
Plancha con rodillas apoyadas,core,variant,Plancha alta con toque de hombro,,,Kneeling Plank Shoulder Taps,Prancha com joelhos apoiados,"Plancha con las rodillas en el piso, pies despegados. Toca el hombro contrario con una mano y vuelve. La cadera no se mueve. Es la regresión correcta, no una versión menor.","Plank on the knees, feet off the floor. Tap the opposite shoulder and return. Hips don't move. This is the proper regression, not a lesser version.","Prancha com os joelhos no chão, pés descolados. Toque o ombro contrário com uma mão e volte. O quadril não se mexe. É a regressão correta, não uma versão menor."
Zancada con manos en el piso,core,variant,El mejor estiramiento del mundo,,,Lunge with Hands on the Floor,Passada com mãos no chão,"Zancada profunda, las dos manos al piso por dentro del pie de adelante. Sin rotación: deja caer la cadera y respira. Pecho alto, rodilla de atrás suave.","Long lunge, both hands on the floor inside the front foot. No rotation: let the hip sink and breathe. Chest tall, back knee soft.","Passada profunda, as duas mãos no chão por dentro do pé da frente. Sem rotação: deixe o quadril descer e respire. Peito alto, joelho de trás suave."
