race_id,race_name_es,race_name_en,race_name_pt,city,country,language_market,distance,next_edition_date,typical_month,registration_notes,course_profile,elevation_gain_m,course_hooks,typical_weather,qualifying_relevance,plan_duration_weeks_available,plan_matching_rule,target_queries_es,target_queries_en,target_queries_pt,sources,confidence_flags
valencia-marathon,Maratón de Valencia (Valencia Marathon Trinidad Alfonso),Valencia Marathon,,Valencia,Spain,ES,42k,2026-12-06,December,"General entry via valenciaciudaddelrunning.com; sells out months ahead, no lottery but capacity-capped (~30,000+ runners).","Flat, sea-level loop; start/finish at City of Arts and Sciences",~15 (essentially flat),World's 3rd-fastest marathon course; men's winning times sub-2:02; the definitive PB/BQ-chase course in the Spanish-speaking market; ideal 12-17C race-day temps,"12-17C, low wind, minimal rain risk in December",Unofficial #1 European PB course; frequently used for BQ and sub-3 attempts,"12,18","Join training_plans_inventory.csv on sport=Running, distance=42 km, language=Spanish; filter weeks<=floor((race_date-today)/7) at render time; facet ladder = difficulty (Beginner/Intermediate/Advanced) x intensity_type (pace_based/hr_based/power_based - athlete-selectable, not all combos exist for every difficulty) x strength add-on (strength=TRUE/FALSE checkbox). Not every difficulty x intensity x strength cell is populated - template must handle a cell resolving to zero plans by falling back to the nearest available intensity type, never showing a dead facet combination.",plan entrenamiento maraton valencia; como prepararse maraton valencia diciembre; maraton valencia principiantes cuantas semanas,,,https://www.valenciaciudaddelrunning.com/en/marathon/info-registration-2026/ ; https://worldsmarathons.com/marathon/valencia-marathon,"Date confirmed by multiple sources (6 Dec 2026). Elevation figure approximate, not from official course cert doc - verify before publish."
buenos-aires-marathon,Maratón de Buenos Aires,Buenos Aires Marathon,,Buenos Aires,Argentina,ES,42k,2026-09-20,September,"Direct entry, no lottery; largest Argentine marathon.","Mostly flat, urban loop through Obelisco, Casa Rosada, Palermo, La Boca/Caminito, Puerto Madero",~50-80 (minor rolling),Boston Qualifier AND Abbott World Marathon Majors Age Group World Rankings race - dual qualifying value; passes Caminito/La Boca and Puerto Madero landmarks; Southern-hemisphere spring timing means mild race-day temps,"12-18C, spring, low humidity",Boston Qualifier; AbbottWMM Age Group World Ranking race,"12,18","Join training_plans_inventory.csv on sport=Running, distance=42 km, language=Spanish; filter weeks<=floor((race_date-today)/7) at render time; facet ladder = difficulty (Beginner/Intermediate/Advanced) x intensity_type (pace_based/hr_based/power_based - athlete-selectable, not all combos exist for every difficulty) x strength add-on (strength=TRUE/FALSE checkbox). Not every difficulty x intensity x strength cell is populated - template must handle a cell resolving to zero plans by falling back to the nearest available intensity type, never showing a dead facet combination.",plan entrenamiento maraton buenos aires; como entrenar maraton buenos aires; maraton buenos aires boston qualifier,,,https://raceroster.com/events/2026/115667/buenos-aires-argentina-marathon ; https://www.finishers.com/en/event/buenos-aires-marathon,"Date and BQ/AbbottWMM status corroborated by 2 sources. Elevation gain is an estimate, not course-cert sourced - flag to verify."
cdmx-marathon,Maratón de la Ciudad de México (Telcel),Mexico City Marathon,,Mexico City,Mexico,ES,42k,2026-08-30,August,"43rd edition (Telcel-sponsored); direct entry, high demand, historically sells out.","Start at Ciudad Universitaria / UNAM Olympic Stadium, south Mexico City","Moderate rolling - not officially found, flag to verify","Altitude is the defining factor: 2,240-2,300m above sea level. Requires conservative early pacing, earlier/more frequent hydration and fueling (from ~km 8-10), and ideally 3+ days of pre-race acclimatization. This is the single strongest differentiation hook of any race in the ES longlist.","Rainy season - mild mornings (~12-18C at race start), afternoon storms possible but race runs in the morning",None major; primarily a bucket-list/altitude-challenge race,"12,18","Join training_plans_inventory.csv on sport=Running, distance=42 km, language=Spanish; filter weeks<=floor((race_date-today)/7) at render time; facet ladder = difficulty (Beginner/Intermediate/Advanced) x intensity_type (pace_based/hr_based/power_based - athlete-selectable, not all combos exist for every difficulty) x strength add-on (strength=TRUE/FALSE checkbox). Not every difficulty x intensity x strength cell is populated - template must handle a cell resolving to zero plans by falling back to the nearest available intensity type, never showing a dead facet combination.",maraton cdmx plan entrenamiento altura; como correr maraton ciudad de mexico altitud; entrenar para maraton en altura,,,https://www.olympics.com/es/noticias/maraton-cdmx-2026-cuando-costos ; https://www.mediotiempo.com/futbol/copa-mundial/de-cuanto-es-la-altura-en-cdmx-y-por-que-afecta-para-hacer-deporte,"Date confirmed (30 Aug 2026). Course elevation profile (hills beyond altitude) not verified - flag before publish. Altitude figure corroborated by multiple sources (2,240-2,300m range)."
bogota-half-marathon,Media Maratón Internacional de Bogotá,Bogota Half Marathon,,Bogota,Colombia,ES,21k,"2027-07-25 (estimate - 2026 edition ran 26 Jul 2026; 2027 official date not yet published, historically last Sunday of July)",July,"World Athletics Platinum Label half marathon; 42,000+ runners from 50+ countries in 2026; among the largest half marathons in the world.",Parque Simon Bolivar start; largely flat within the park/city grid but altitude dominates difficulty,Minor rolling - not verified,"Altitude 2,600m - even more extreme than CDMX; World Athletics Platinum Label prestige; massive field size and logistics (road closures, corrales) is itself a search topic; huge international field","Bogota climate is mild/cool year-round (~12-19C), altitude is the story, not heat","World Athletics Platinum Label (elite prestige, not an amateur qualifying race)","14,16","Join training_plans_inventory.csv on sport=Running, distance=21 km, language=Spanish; filter weeks<=floor((race_date-today)/7) at render time; facet ladder = difficulty (Beginner/Intermediate/Advanced) x intensity_type (pace_based/hr_based/power_based - athlete-selectable, not all combos exist for every difficulty) x strength add-on (strength=TRUE/FALSE checkbox). Not every difficulty x intensity x strength cell is populated - template must handle a cell resolving to zero plans by falling back to the nearest available intensity type, never showing a dead facet combination.",media maraton bogota plan entrenamiento altura; como entrenar para la media maraton de bogota; medio maraton bogota principiantes,,,https://www.eltiempo.com/bogota/media-maraton-de-bogota-2026 ; https://rutarunning.com/noticias/media-maraton-bogota-2026-fecha-recorrido-guia/,"IMPORTANT: 2026 edition already ran (26 Jul 2026, 4 days before this research). 2027 date is an estimate based on historical pattern, not confirmed - re-verify closer to build time, do not publish next_edition_date as fact until official date drops."
ironman-703-cartagena,Ironman 70.3 Cartagena,Ironman 70.3 Cartagena,,Cartagena,Colombia,ES,70.3,2026-11-29,November,Direct IRONMAN registration; popular destination race for LatAm + international field.,"Swim: 1.9km loop in protected Cartagena Bay. Bike: flat 90km coastal, ~300m total elevation (PR-friendly) but exposed to 15-20km/h coastal winds. Run: 21.1km loops through UNESCO Old Town, cobblestone streets.",~300 (bike leg),"Extreme heat/humidity is the defining challenge: ~32C, 85% humidity on the run; cobblestone streets in Old Town add quad/ankle strain; flat bike is fast but coastal wind is a real variable; aid stations every 1.5km on the run (ice, cola, watermelon) reflect how seriously heat is managed","32C, 85% humidity - one of the hottest 70.3s on the calendar",None (not a 70.3 Worlds qualifier in every cycle - verify current year's slot allocation before publishing),"13,19,20","Join training_plans_inventory.csv on sport=Triathlon, distance=Half, language=Spanish; filter weeks<=floor((race_date-today)/7) at render time; facet ladder = difficulty (Beginner/Intermediate/Advanced) x intensity_type (pace_based/hr_based/power_based - athlete-selectable, not all combos exist for every difficulty) x strength add-on (strength=TRUE/FALSE checkbox). Not every difficulty x intensity x strength cell is populated - template must handle a cell resolving to zero plans by falling back to the nearest available intensity type, never showing a dead facet combination.",plan entrenamiento ironman 70.3 cartagena; como prepararse para el calor cartagena triatlon; entrenar triatlon medio ironman calor,,,https://www.ahotu.com/event/ironman-70-3-cartagena ; https://triathlon.mx/blogs/triathlon-news/conquer-the-tropical-heat-your-ultimate-ironman-70-3-cartagena-race-guide-2023-update,Date corroborated by 2 sources. Heat/humidity figures and course hooks sourced from a race-guide blog (not the official IRONMAN course page) - corroborate with official site before publishing exact numbers.
ironman-cozumel,Ironman Cozumel (Distancia Completa),Ironman Cozumel (Full Distance),,Cozumel,Mexico,ES,140.6,2026-11-22,November,"IRONMAN Latin American Championship - direct entry, championship status draws a strong competitive field.","Swim: 3.8km two-loop at Chankanaab Park reef. Bike: 180km flat island-road loop, wind-exposed. Run: 42.2km through downtown Cozumel streets.",Minimal (flat island course),IRONMAN Latin American Championship status; flat bike is fast on paper but wind exposure on the island loop is the real variable; heat/humidity on the marathon leg is the closer; scenic reef swim is a strong storytelling hook,"Warm/humid, Caribbean November conditions (~28-30C)",IRONMAN Latin American Championship - regional prestige/qualifying slot race,"22,23,24","Join training_plans_inventory.csv on sport=Triathlon, distance=Full, language=Spanish; filter weeks<=floor((race_date-today)/7) at render time; facet ladder = difficulty (Beginner/Intermediate/Advanced) x intensity_type (pace_based/hr_based/power_based - athlete-selectable, not all combos exist for every difficulty) x strength add-on (strength=TRUE/FALSE checkbox). Not every difficulty x intensity x strength cell is populated - template must handle a cell resolving to zero plans by falling back to the nearest available intensity type, never showing a dead facet combination.",plan entrenamiento ironman cozumel; como prepararse ironman distancia completa calor; entrenar triatlon larga distancia cozumel,,,https://www.ahotu.com/event/ironman-cozumel ; https://thisiscozumel.com/tourist-info/100-cozumel-events-and-public-holidays/731-ironman-cozumel,"Date corroborated by 2 sources. Note: EN-language full-distance plan inventory is only 1 plan (fails the 3-plan minimum) - this page is ES-only, do not build an EN version until EN full-distance inventory grows."
nyc-marathon,,TCS New York City Marathon,,New York,USA,EN,42k,2026-11-01,November,"Lottery-based (very low odds) or guaranteed entry via NYRR 9+1 program, time qualifier, or charity bib. 50th anniversary of the 5-borough course in 2026; 50,000+ runners expected.","Point-to-point across all 5 boroughs, 5 bridges (Verrazzano-Narrows, Pulaski, Queensboro, Willis Ave, Madison Ave); start Fort Wadsworth (Staten Island), finish Central Park",~250 (notably hillier than Chicago/Berlin/Valencia - Queensboro Bridge climb at mile 15-16 is the signature test),"Not a flat PB course - the bridges (especially Queensboro at mile 15-16, right after the quietest/loneliest stretch of the course) are the defining pacing challenge; entry itself is a content topic (lottery odds, 9+1 program, charity bibs); crowd energy is legendary and undersells the difficulty","Cool, 45-55F / 7-13C, can be windy on the bridges",No time qualifier for entry (lottery/guaranteed-entry system instead) - itself a major search topic,"12,18","Join training_plans_inventory.csv on sport=Running, distance=42 km, language=English; filter weeks<=floor((race_date-today)/7) at render time; facet ladder = difficulty (Beginner/Intermediate/Advanced) x intensity_type (pace_based/hr_based/power_based - athlete-selectable, not all combos exist for every difficulty) x strength add-on (strength=TRUE/FALSE checkbox). Not every difficulty x intensity x strength cell is populated - template must handle a cell resolving to zero plans by falling back to the nearest available intensity type, never showing a dead facet combination.",,nyc marathon training plan; how to train for the new york city marathon hills; nyc marathon bridges pacing strategy,,https://www.nyrr.org/run/photos-and-stories/2026/tcs-new-york-city-marathon-you-are-in-what-is-next ; https://rundida.com/marathon/newyork/,Date and course facts corroborated by 2+ sources. Elevation gain figure is a general estimate - verify against official NYRR course profile before publish.
boston-marathon,,Boston Marathon,,Boston,USA,EN,42k,2027-04-19,"April (Patriots' Day, 3rd Monday)","Qualifier registration window 14-18 Sep 2026 for the 2027 race. 2027 open BQ standards: 2:55:00 (men 18-34), 3:25:00 (women 18-34), age-graded above that - 5 minutes faster than pre-2026 standards. Actual acceptance cutoff typically faster than the published standard (2026 cutoff was 4:34 faster than standard; community projections for 2027 trend 5:00-5:30 faster).","Point-to-point, net downhill (~140m net drop, Hopkinton to Boston) but front-loaded downhill followed by the Newton hills (miles 16-21), culminating in Heartbreak Hill","~130 gain / ~230 loss (net downhill, deceptively hard)","THE qualifying-time content topic in English-language marathon search - BQ cutoff prediction, standards, registration window are all high-intent queries; Heartbreak Hill and the Newton hills (miles 16-21) are the signature difficulty, made worse by quad damage from the early net-downhill miles; this is the single highest-authority content opportunity in the whole EN longlist",Highly variable April New England weather - anywhere from 40F/4C and rain to 70F+/21C+ (the 2012 and 2021 editions are famous extreme-weather case studies),THE benchmark qualifying race - BQ (Boston Qualifier) is a globally recognized term,"12,18","Join training_plans_inventory.csv on sport=Running, distance=42 km, language=English; filter weeks<=floor((race_date-today)/7) at render time; facet ladder = difficulty (Beginner/Intermediate/Advanced) x intensity_type (pace_based/hr_based/power_based - athlete-selectable, not all combos exist for every difficulty) x strength add-on (strength=TRUE/FALSE checkbox). Not every difficulty x intensity x strength cell is populated - template must handle a cell resolving to zero plans by falling back to the nearest available intensity type, never showing a dead facet combination.",,boston marathon qualifying times; boston marathon training plan; how to train for boston marathon heartbreak hill; BQ cutoff 2027,,https://www.baa.org/races/boston-marathon/qualify/ ; https://rundida.com/marathon/boston/ ; https://www.airalo.com/blog/boston-marathon-qualifying-times-registration-dates,"2027 date and BQ standards corroborated across 3 sources. Cutoff-buffer projection (5:00-5:30) is explicitly a community estimate, not official - present as a range/estimate, never as fact, and note BAA publishes the real cutoff only after the registration window closes."
chicago-marathon,,Bank of America Chicago Marathon,,Chicago,USA,EN,42k,2026-10-11,October,"Lottery-based (World Marathon Major); 48th edition in 2026; ~53,000 runners expected.","Flat loop, start/finish Grant Park, passes Old Town, Little Italy, Chinatown and other neighborhoods",~40 (essentially flat),"Site of 7 marathon world records, most recently 2024 - the flattest, fastest of the US majors; consistently cool October weather reinforces the PB-course positioning; World Marathon Major lottery entry is itself a search topic","Cool, ~45-55F / 7-13C typical, can occasionally run warm","World Marathon Major (lottery entry, no time qualifier required)","12,18","Join training_plans_inventory.csv on sport=Running, distance=42 km, language=English; filter weeks<=floor((race_date-today)/7) at render time; facet ladder = difficulty (Beginner/Intermediate/Advanced) x intensity_type (pace_based/hr_based/power_based - athlete-selectable, not all combos exist for every difficulty) x strength add-on (strength=TRUE/FALSE checkbox). Not every difficulty x intensity x strength cell is populated - template must handle a cell resolving to zero plans by falling back to the nearest available intensity type, never showing a dead facet combination.",,chicago marathon training plan; how to pr at chicago marathon; chicago marathon flat course training,,https://www.chicagomarathon.com/runners/runner-information/future-event-dates/ ; https://en.wikipedia.org/wiki/2026_Chicago_Marathon,Date and world-record claim corroborated by 2 sources.
ironman-703-oceanside,,Ironman 70.3 Oceanside,,"Oceanside, CA",USA,EN,70.3,"2027-03-28 (estimate - 2026 edition ran 28 Mar 2026; 2027 date not yet officially published, historically same March weekend)",March,Popular North American season-opener 70.3; direct IRONMAN registration.,"Swim: 1.2mi Pacific Ocean. Bike: 56mi loop through Oceanside Harbour into Camp Pendleton (active military base), inland climbs including San Mateo Hill after ~20mi coastal. Run: 13.1mi along Oceanside coastline.","Moderate - bike leg has real climbing (San Mateo Hill and others), not flat","Season-opener timing means athletes are undertrained coming out of winter - pacing/fitness-check messaging fits; ocean swim conditions (surf, cold Pacific water) are a real prep topic; Camp Pendleton bike climbs break the 'flat 70.3' assumption","Cool coastal California March conditions, ~55-65F / 13-18C, cold ocean swim (wetsuit-legal)","None major, but a well-known 70.3 World Championship qualifying race in some years - verify current slot allocation before publish","19,20","Join training_plans_inventory.csv on sport=Triathlon, distance=Half, language=English; filter weeks<=floor((race_date-today)/7) at render time; facet ladder = difficulty (Beginner/Intermediate/Advanced) x intensity_type (pace_based/hr_based/power_based - athlete-selectable, not all combos exist for every difficulty) x strength add-on (strength=TRUE/FALSE checkbox). Not every difficulty x intensity x strength cell is populated - template must handle a cell resolving to zero plans by falling back to the nearest available intensity type, never showing a dead facet combination.",,ironman 70.3 oceanside training plan; how to train for oceanside 70.3 hills; oceanside 70.3 cold water swim prep,,https://visitoceanside.org/events/ironman-70-3-oceanside/ ; https://www.onthesandvacations.com/blog/ironman-oceanside,"2026 date confirmed (28 Mar 2026, already past). 2027 date is an estimate based on historical pattern - re-verify before publish, do not treat as confirmed."
