plan_id,plan_name_at_sale,date,payment_type,amount,tax,fee,earnings
368997,[Reusable] 4 Week Polarized to improve speed (Garmin Structured Workouts) - Unlimited email support,2023-01-30,Sale,19.99,0,6,13.99
392377,Nadar más rápido en 4 semanas con el sistema 80-20 polarizado - (Sincroniza con Garmin),2023-02-20,Sale,14.99,0,4.5,10.49
391113,10 km para intermedios - 12 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-02-23,Sale,18.99,0,5.7,13.29
391452,5 km para avanzados - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-03-04,Sale,14.55,0.56,4.2,9.79
368997,[Reusable] 4 Week Polarized to improve speed (Garmin Structured Workouts) - Unlimited email support,2023-04-03,Sale,19.99,0,6,13.99
392377,Nadar más rápido en 4 semanas con el sistema 80-20 polarizado - (Sincroniza con Garmin),2023-04-06,Sale,14.99,0,4.5,10.49
391452,5 km para avanzados - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-04-06,Sale,13.99,0,4.2,9.79
391452,5 km para avanzados - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-04-24,Sale,13.99,0,4.2,9.79
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-04-30,Sale,12.99,0,3.9,9.09
393663,Domina los 1900m en 4 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2023-05-16,Sale,15.99,0,4.8,11.19
368997,[Reusable] 4 Week Polarized to improve speed (Garmin Structured Workouts) - Unlimited email support,2023-05-21,Sale,21.99,2,6,13.99
391452,5 km para avanzados - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-06-08,Sale,13.99,0,4.2,9.79
401094,[Reusable] Swim 1500m non-stop in 6 weeks - Polarized - Garmin structured workouts,2023-06-14,Sale,19.99,0,6,13.99
401098,[Reusable] 8-week polarized training to improve speed (Garmin Structured Workouts),2023-06-21,Sale,24.99,0,7.5,17.49
391452,5 km para avanzados - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-06-27,Sale,14.55,0.56,4.2,9.79
380334,[New 2025] 5 km for beginners (extended) - Science based polarized 80-20 - Unlimited support,2023-06-30,Sale,14.99,0,4.5,10.49
393672,3000m para intermedios a avanzados - Sincroniza con Garmin),2023-07-05,Sale,24.99,0,7.5,17.49
