athlete_id,churn_reason,secondary_reason,announced,intent_to_return,coach_goodbye,pause_offered,goal_race,last8w_pattern,read_on
A0601c670,left_injury,none,no,none,n.a.,no,upcoming,engaged weekly to the end; Achilles flare-up in the final week,2026-09-12
A0723dd11,left_not_training,left_life,yes,explicit,yes,no,none_stated,"2 unanswered Mondays after vacation, then coach noticed cancellation",2026-09-12
A0a8709b4,left_life,left_not_training,yes,none,yes,no,completed_before_churn,"engaged weekly, low compliance; announced Aug 29, still raced 70.3 ~Sept 28",2026-09-12
A0ac928fe,left_life,left_not_training,yes,explicit,no,no,none_stated,"6 Mondays, 2 brief replies, no coach acknowledgement",2026-09-12
A0e683769,goal_completed,none,yes,explicit,yes,no,completed_before_churn,"engaged weekly to the end, finished Ironman Aug 2, announced Aug 10",2026-09-12
A1196f3c7,unknown,none,no,none,n.a.,no,unknown,email channel; thin extract,2026-09-12
A143186dc,goal_completed,left_life,no,none,n.a.,no,completed_before_churn,"sparse all tenure; wrote around race week, silent after Mar 16 thanks",2026-09-12
A25a6ee8c,paused_then_left,left_life,yes,explicit,yes,no,none_stated,"engaged weekly to the end, announced Jul 15",2026-09-12
A28d455d6,left_injury,none,yes,none,yes,no,none_stated,"intermittent (stomach virus, medical checks), announced Apr 16",2026-09-12
A3033ff59,left_life,none,yes,none,yes,no,unknown,"email channel (Ramadan, per Iván)",2026-09-12
A315679f6,left_service,none,no,none,n.a.,no,upcoming,"engaged weekly; voiced frustration Jun 30, cancelled next day",2026-09-12
A31cd0d4f,left_life,none,yes,none,yes,no,upcoming,"1 unanswered Monday, then announced work relocation",2026-09-12
A377e1957,left_injury,none,yes,none,yes,no,none_stated,"calf overload, flu, 1 unanswered Monday, then announced",2026-09-12
A42278b70,left_unresponsive,left_not_training,no,none,n.a.,no,none_stated,"3 unanswered Mondays after brief return, no announcement",2026-09-12
A4368962f,left_life,none,yes,none,yes,no,completed_before_churn,"engaged weekly to the end, racing (podium Jun 28), announced ~Jul 6-13",2026-09-12
A4731fe85,paused_then_left,left_life,yes,explicit,yes,no,completed_before_churn,"asked to suspend Dec 22, trained 2 weeks, cancelled Jan 17",2026-09-12
A509c2587,left_unresponsive,left_life,no,none,n.a.,no,none_stated,"home project, ~5h/wk instead of 9-11, 2 unanswered Mondays",2026-09-12
A54e37b97,left_not_training,left_price,yes,explicit,yes,no,upcoming,"2 unanswered Mondays, then audio: no point paying while not training",2026-09-12
